service_id,date,exception_type
27_1094153,20230807,1
27_1094153,20230808,1
27_1094153,20230809,1
27_1094153,20230810,1
27_1094153,20230811,1
27_1094153,20230812,1
27_1094153,20230814,1
27_1094153,20230816,1
27_1094153,20230817,1
27_1094153,20230818,1
27_1094153,20230819,1
27_1094153,20230821,1
27_1094153,20230822,1
27_1094153,20230823,1
27_1094153,20230824,1
27_1094153,20230825,1
27_1094153,20230826,1
27_1094153,20230828,1
27_1094153,20230829,1
27_1094153,20230830,1
27_1094153,20230831,1
27_1094153,20230901,1
27_1094181,20230807,1
27_1094181,20230808,1
27_1094181,20230809,1
27_1094181,20230810,1
27_1094181,20230811,1
27_1094181,20230814,1
27_1094181,20230816,1
27_1094181,20230817,1
27_1094181,20230818,1
27_1094181,20230821,1
27_1094181,20230822,1
27_1094181,20230823,1
27_1094181,20230824,1
27_1094181,20230825,1
27_1094181,20230828,1
27_1094181,20230829,1
27_1094181,20230830,1
27_1094181,20230831,1
27_1094181,20230901,1
27_1094213,20230812,1
27_1094213,20230819,1
27_1094213,20230826,1
27_1094214,20230812,1
27_1094214,20230819,1
27_1094214,20230826,1
27_1094215,20230812,1
27_1094215,20230819,1
27_1094215,20230826,1
27_1094216,20230812,1
27_1094216,20230819,1
27_1094216,20230826,1
27_1094217,20230812,1
27_1094217,20230819,1
27_1094217,20230826,1
27_1094218,20230812,1
27_1094218,20230819,1
27_1094218,20230826,1
27_1094220,20230812,1
27_1094220,20230819,1
27_1094220,20230826,1
27_1094221,20230812,1
27_1094221,20230819,1
27_1094221,20230826,1
27_1094226,20230812,1
27_1094226,20230819,1
27_1094226,20230826,1
27_1094227,20230812,1
27_1094227,20230819,1
27_1094227,20230826,1
27_1094228,20230812,1
27_1094228,20230819,1
27_1094228,20230826,1
27_1094229,20230812,1
27_1094229,20230819,1
27_1094229,20230826,1
27_1094238,20230812,1
27_1094238,20230819,1
27_1094238,20230826,1
27_1094244,20230812,1
27_1094244,20230819,1
27_1094244,20230826,1
27_1094256,20230812,1
27_1094256,20230819,1
27_1094256,20230826,1
27_1094257,20230809,1
27_1094257,20230816,1
27_1094257,20230823,1
27_1094257,20230830,1
27_1094302,20230812,1
27_1094302,20230819,1
27_1094302,20230826,1
27_1094320,20230808,1
27_1094320,20230811,1
27_1094320,20230818,1
27_1094320,20230822,1
27_1094320,20230825,1
27_1094320,20230829,1
27_1094320,20230901,1
27_1094321,20230808,1
27_1094321,20230811,1
27_1094321,20230818,1
27_1094321,20230822,1
27_1094321,20230825,1
27_1094321,20230829,1
27_1094321,20230901,1
27_1094337,20230807,1
27_1094337,20230808,1
27_1094337,20230809,1
27_1094337,20230810,1
27_1094337,20230811,1
27_1094337,20230814,1
27_1094337,20230816,1
27_1094337,20230817,1
27_1094337,20230818,1
27_1094337,20230821,1
27_1094337,20230822,1
27_1094337,20230823,1
27_1094337,20230824,1
27_1094337,20230825,1
27_1094337,20230828,1
27_1094337,20230829,1
27_1094337,20230830,1
27_1094337,20230831,1
27_1094337,20230901,1
27_1094338,20230807,1
27_1094338,20230808,1
27_1094338,20230809,1
27_1094338,20230810,1
27_1094338,20230811,1
27_1094338,20230814,1
27_1094338,20230816,1
27_1094338,20230817,1
27_1094338,20230818,1
27_1094338,20230821,1
27_1094338,20230822,1
27_1094338,20230823,1
27_1094338,20230824,1
27_1094338,20230825,1
27_1094338,20230828,1
27_1094338,20230829,1
27_1094338,20230830,1
27_1094338,20230831,1
27_1094338,20230901,1
27_1094339,20230807,1
27_1094339,20230808,1
27_1094339,20230809,1
27_1094339,20230810,1
27_1094339,20230811,1
27_1094339,20230814,1
27_1094339,20230816,1
27_1094339,20230817,1
27_1094339,20230818,1
27_1094339,20230821,1
27_1094339,20230822,1
27_1094339,20230823,1
27_1094339,20230824,1
27_1094339,20230825,1
27_1094339,20230828,1
27_1094339,20230829,1
27_1094339,20230830,1
27_1094339,20230831,1
27_1094339,20230901,1
27_1094340,20230807,1
27_1094340,20230808,1
27_1094340,20230809,1
27_1094340,20230810,1
27_1094340,20230811,1
27_1094340,20230814,1
27_1094340,20230816,1
27_1094340,20230817,1
27_1094340,20230818,1
27_1094340,20230821,1
27_1094340,20230822,1
27_1094340,20230823,1
27_1094340,20230824,1
27_1094340,20230825,1
27_1094340,20230828,1
27_1094340,20230829,1
27_1094340,20230830,1
27_1094340,20230831,1
27_1094340,20230901,1
27_1094358,20230807,1
27_1094358,20230808,1
27_1094358,20230809,1
27_1094358,20230810,1
27_1094358,20230811,1
27_1094358,20230814,1
27_1094358,20230816,1
27_1094358,20230817,1
27_1094358,20230818,1
27_1094358,20230821,1
27_1094358,20230822,1
27_1094358,20230823,1
27_1094358,20230824,1
27_1094358,20230825,1
27_1094358,20230828,1
27_1094358,20230829,1
27_1094358,20230830,1
27_1094358,20230831,1
27_1094358,20230901,1
27_1094371,20230812,1
27_1094371,20230819,1
27_1094371,20230826,1
27_1094372,20230812,1
27_1094372,20230819,1
27_1094372,20230826,1
27_1094373,20230812,1
27_1094373,20230819,1
27_1094373,20230826,1
27_1094376,20230807,1
27_1094376,20230808,1
27_1094376,20230809,1
27_1094376,20230810,1
27_1094376,20230811,1
27_1094376,20230814,1
27_1094376,20230816,1
27_1094376,20230817,1
27_1094376,20230818,1
27_1094376,20230821,1
27_1094376,20230822,1
27_1094376,20230823,1
27_1094376,20230824,1
27_1094376,20230825,1
27_1094376,20230828,1
27_1094376,20230829,1
27_1094376,20230830,1
27_1094376,20230831,1
27_1094376,20230901,1
27_1094382,20230807,1
27_1094382,20230808,1
27_1094382,20230809,1
27_1094382,20230810,1
27_1094382,20230811,1
27_1094382,20230814,1
27_1094382,20230816,1
27_1094382,20230817,1
27_1094382,20230818,1
27_1094382,20230821,1
27_1094382,20230822,1
27_1094382,20230823,1
27_1094382,20230824,1
27_1094382,20230825,1
27_1094382,20230828,1
27_1094382,20230829,1
27_1094382,20230830,1
27_1094382,20230831,1
27_1094382,20230901,1
27_1094384,20230812,1
27_1094384,20230819,1
27_1094384,20230826,1
